Labels,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Rifiuto Totale Pro Capite (Kg),530,580,570,592,634,583,569,576,573,612,603,624,612,618,599,
Rifiuto Totale Differenziato Pro Capite (Kg),64,103,96,133,174,213,201,199,221,256,262,294,300,311,318,
Rifiuto Totale Residuuo Pro Capite (Kg),466,477,474,460,459,371,368,377,352,356,341,330,313,307,280,
